slug,name,vendor,code,status,questions,practice_time_minutes,practice_test_price_usd,study_course_price_usd,exam_fee_usd
comptia-cloud-plus,CompTIA Cloud+,CompTIA,CV0-004,live,1200,1200,,,
comptia-itf-plus,CompTIA ITF+,CompTIA,FC0-U61,live,1900,1900,,,
comptia-cysa-plus,CompTIA CySA+,CompTIA,CS0-003,live,1600,1600,,,
comptia-pentest-plus,CompTIA PenTest+,CompTIA,PT0-003,live,2160,2160,,,
comptia-a-plus-core-1,CompTIA A+ Core 1,CompTIA,220-1101,live,2100,2100,,,
comptia-a-plus-core-2,CompTIA A+ Core 2,CompTIA,220-1202,live,3200,3200,,,
comptia-network-plus,CompTIA Network+,CompTIA,N10-009,live,1119,1119,,,
comptia-security-plus,CompTIA Security+,CompTIA,SY0-701,live,1900,1900,,,
comptia-data-plus,CompTIA Data+,CompTIA,DA0-002,live,1000,1000,,,
cisco-ccna,Cisco CCNA,Cisco,200-301,live,800,800,,,
aws-cloud-practitioner,AWS Certified Cloud Practitioner,AWS,CLF-C02,live,400,400,,,
aws-solutions-architect-associate,AWS Certified Solutions Architect – Associate,AWS,SAA-C03,live,600,600,,,
aws-ai-practitioner,AWS Certified AI Practitioner,AWS,AIF-C01,live,500,500,,,
aws-ml-engineer-associate,AWS Certified Machine Learning Engineer – Associate,AWS,MLA-C01,live,500,500,,,
aws-genai-developer-professional,AWS Certified Generative AI Developer – Professional,AWS,AIP-C01,live,688,688,,,
aws-cloudops-engineer-associate,AWS Certified CloudOps Engineer – Associate,AWS,SOA-C03,live,500,500,,,
aws-data-engineer-associate,AWS Certified Data Engineer – Associate,AWS,DEA-C01,live,500,500,,,
aws-developer-associate,AWS Certified Developer – Associate,AWS,DVA-C02,live,500,500,,,
aws-devops-engineer-professional,AWS Certified DevOps Engineer – Professional,AWS,DOP-C02,live,600,600,,,
aws-security-specialty,AWS Certified Security – Specialty,AWS,SCS-C03,live,600,600,,,
aws-advanced-networking-specialty,AWS Certified Advanced Networking – Specialty,AWS,ANS-C01,live,480,480,,,
aws-solutions-architect-professional,AWS Certified Solutions Architect – Professional,AWS,SAP-C02,live,600,600,,,
microsoft-az-900,Microsoft Azure Fundamentals,Microsoft,AZ-900,live,312,312,,,
microsoft-az-104,Microsoft Azure Administrator,Microsoft,AZ-104,live,500,500,,,
isc2-cissp,Certified Information Systems Security Professional,ISC2,CISSP,live,800,800,,,
itil-foundation,ITIL 4 Foundation,PeopleCert,ITIL 4,live,400,400,,,
osha-10-construction,OSHA 10-Hour Construction,OSHA,OSHA 10,live,400,400,,,
forklift-certification,Forklift Operator Certification,OSHA,OSHA 1910.178,coming-soon,0,0,,,
cpr-aed,CPR / AED Certification,American Red Cross / AHA,CPR/AED,coming-soon,0,0,,,
bls,Basic Life Support (BLS),American Heart Association,BLS,coming-soon,0,0,,,
emt,EMT (Emergency Medical Technician),NREMT,NREMT,coming-soon,0,0,,,
cna,Certified Nursing Assistant (CNA),State Boards,CNA,coming-soon,0,0,,,
medical-assistant,Certified Medical Assistant (CMA),AAMA / NHA / AMT,CMA,coming-soon,0,0,,,
phlebotomy-technician,Certified Phlebotomy Technician (CPT),NHA / ASCP / ASPT,CPT,coming-soon,0,0,,,
medical-billing-coding,Medical Billing and Coding (CPC / CCS),AAPC / AHIMA,CPC / CCS,coming-soon,0,0,,,
cdl-class-a,CDL Class A,FMCSA / State DMV,CDL-A,coming-soon,0,0,,,
faa-part-107,FAA Part 107 (Remote Pilot),FAA,Part 107,coming-soon,0,0,,,
faa-private-pilot,FAA Private Pilot Certificate,FAA,PPL,coming-soon,0,0,,,
faa-airframe-powerplant,A&P (Airframe and Powerplant) Mechanic,FAA,FAA A&P,coming-soon,0,0,,,
real-estate-license,Real Estate Salesperson License,State Real Estate Commissions,Real Estate License,coming-soon,0,0,,,
insurance-license,Insurance Producer License,State Insurance Departments,Life / Health / P&C,coming-soon,0,0,,,
nmls-mlo,NMLS Mortgage Loan Originator (MLO),NMLS,SAFE MLO,coming-soon,0,0,,,
servsafe-food-handler,ServSafe Food Handler,National Restaurant Association,ServSafe FH,coming-soon,0,0,,,
servsafe-manager,ServSafe Food Protection Manager,National Restaurant Association,ServSafe Manager,coming-soon,0,0,,,
epa-608,EPA 608 Refrigerant Handling Certification,EPA,EPA 608,coming-soon,0,0,,,
electrician-license,Electrician License (Apprentice / Journeyman / Master),State Boards,NEC / State License,coming-soon,0,0,,,
plumbing-license,Plumbing License (Apprentice / Journeyman / Master),State Boards,UPC / IPC / State,coming-soon,0,0,,,
ase-automotive,ASE Automotive Certification,ASE,ASE A1–A9 / G1,coming-soon,0,0,,,
aws-certified-welder,AWS Certified Welder,American Welding Society,AWS QC7,coming-soon,0,0,,,
cosmetology-license,Cosmetology License,State Boards,Cosmetology,coming-soon,0,0,,,
barber-license,Barber License,State Boards,Barber,coming-soon,0,0,,,
esthetician-license,Esthetician License,State Boards,Esthetician,coming-soon,0,0,,,
personal-trainer-nasm,Certified Personal Trainer (NASM-CPT),NASM,NASM-CPT,coming-soon,0,0,,,
pmp,Project Management Professional (PMP),PMI,PMP,coming-soon,0,0,,,
quickbooks-proadvisor,QuickBooks ProAdvisor,Intuit,QuickBooks ProAdvisor,coming-soon,0,0,,,
